name,elevation_ft,iso_country,iso_region,continent
Whidbey General Hospital Heliport,103.0,US,US-WA,
Odyssey Heliport,20.0,US,US-WA,
Keyhole Airport,4250.0,US,US-WY,
Ascension Seton Hays Heliport,715.0,US,US-TX,
Meadowood Ranch Heliport,500.0,US,US-TX,
Barefoot Airport,160.0,US,US-AK,
Rustic Wilderness Airport,190.0,US,US-AK,
Bass Field,61.0,US,US-AL,
Three Rivers Airport,264.0,US,US-AR,
Winchester Farm Airstrip,4200.0,US,US-AZ,
Swepi Beta Platform Ellen Heliport,122.0,US,US-CA,
Shannon Field,165.0,US,US-MS,
Conover Air Lodge Airport,5160.0,US,US-CA,
Mc Cullough Airport,7615.0,US,US-CO,
Strangers Point Heliport,540.0,US,US-CT,
Osborn Airfield,121.0,US,US-FL,
Triple R Ranch Airport,209.0,US,US-FL,
Cuchens Airport,215.0,US,US-FL,
Doug Bolton Field,884.0,US,US-GA,
Etowah Fields Airport,710.0,US,US-GA,
K3 Helipad Heliport,9.0,US,US-HI,OC
Boone County Hospital Heliport,1160.0,US,US-IA,
Morgan Ranch Airport,5634.0,US,US-ID,
King Ultralightport,925.0,US,US-IN,
Diamond P. Field,904.0,US,US-IN,
Condell Medical Center Heliport,762.0,US,US-IL,
Jmj Landing Airport,1170.0,US,US-KS,
St Claire Healthcare Heliport,781.0,US,US-KY,
Boone National Guard Heliport,760.0,US,US-KY,
Louisiana State Police Troop G Heliport,168.0,US,US-LA,
Windy Hill Heliport,25.0,US,US-LA,
Cuttyhunk Heliport,9.0,US,US-MA,
Garner Field,141.0,US,US-MD,
Nadeau's Airfield,700.0,US,US-ME,
Fairplains Airpark,850.0,US,US-MI,
Greenbush Municipal Airport,1070.0,US,US-MN,
Troy Airpark,650.0,US,US-MO,
Watts Field,153.0,US,US-MS,
Barrett Field,3350.0,US,US-MT,
Timber Line Airpark,1550.0,US,US-MO,
Race City Heliport,809.0,US,US-NC,
Benes Service Airport,1550.0,US,US-NE,
Iroquois Landing Seaplane Base,1180.0,US,US-NH,
Penske Heliport,78.0,US,US-NJ,
McGee 02 Heliport,25.0,US,US-NC,
Paiute Meadows Airport,4443.0,US,US-NV,
Hansen Heliport,435.0,US,US-NY,
Zimmerman Airport,614.0,US,US-OH,
Murtha Airport,950.0,US,US-OH,
Canon Heliport,1191.0,US,US-OK,
War Veterans Colony Heliport,807.0,US,US-OK,
Rowena Dell Airport,705.0,US,US-OR,
Stottle Memorial Heliport,591.0,US,US-PA,
Lag III Heliport,1070.0,US,US-PA,
Peco Berwyn Heliport,390.0,US,US-PA,
Cuylers Airport,15.0,PR,PR-U-A,
Hughes Ultralightport,1700.0,US,US-PA,
Harpers Airport,111.0,US,US-SC,
Wise River Airport,5830.0,US,US-MT,
Matagorda Shore Facility Heliport,5.0,US,US-TX,
Baylor Medical Center Heliport,560.0,US,US-TX,
Ellis Field,840.0,US,US-TN,
FWOMC Heliport,684.0,US,US-TX,
The Palms At Kitty Hawk Airport,3235.0,US,US-TX,
Lucin Airport,4412.0,US,US-UT,
The Greenhouse Airport,320.0,US,US-VA,
Northstar Aviation Heliport,1850.0,US,US-VA,
Cawleys South Prairie Airport,690.0,US,US-WA,
Beer Airport,920.0,US,US-WI,
Fowler Field,2150.0,US,US-WA,
JLS Farms Airport,675.0,US,US-TX,
Seidel Ranch Airport,510.0,US,US-TX,
Trapper T Heliport,159.0,US,US-AK,
Joe Clouds Seaplane Base,150.0,US,US-AK,
Highland Medical Center Heliport,628.0,US,US-AL,
Hscmh Heliport,350.0,US,US-AR,
Thompson International Aviation Airport,4275.0,US,US-AZ,
Grossmont Hospital Heliport,634.0,US,US-CA,
Kugel-Strong Airport,4950.0,US,US-CO,
Lake Persimmon Airstrip,70.0,US,US-FL,
Tharpe Airport,115.0,US,US-FL,
Ranger Heliport,20.0,US,US-FL,
HIA Airport,238.0,US,US-GA,
Clarks Dream Strip,680.0,US,US-OH,
East Field,954.0,US,US-IA,
Flying Y Ranch Airport,3180.0,US,US-ID,
Davis Field Ultralightport,465.0,US,US-IN,
Wix Airport,750.0,US,US-IL,
Heinzman Airport,850.0,US,US-IN,
OSF St Anthony's Health Center Heliport,580.0,US,US-IL,
Valley Grain Heliport,1160.0,US,US-KS,
Flying H Farms Airport,385.0,US,US-KY,
Damien Heliport,25.0,US,US-LA,
Fmc Nr 1 Heliport,79.0,US,US-LA,
Lakeside Marina Seaplane Base,165.0,US,US-ME,
Hadley Airport,150.0,US,US-MA,
Upper Chesapeake Medical Center Heliport,302.0,US,US-MD,
Maple Ridge Airport,556.0,US,US-ME,
Harold Miller Heliport,585.0,US,US-MI,
Nauerth Land Ranch Airport,1435.0,US,US-MN,
Cahoochie Airport,1010.0,US,US-MO,
Vicksburg Medical Center Heliport,110.0,US,US-MS,
Cascade Field,3580.0,US,US-MT,
McDonnell Airport,874.0,US,US-MO,
Utirik Airport,4.0,MH,MH-UTI,OC
Pilots Ridge Airport,35.0,US,US-NC,
Olafson Brothers Airport,1045.0,US,US-ND,
Hyde Ranch Airport,2430.0,US,US-NE,
Lorden Heliport,400.0,US,US-NH,
AT&T Heliport,360.0,US,US-NJ,
Miner's Colfax Medical Center Heliport,6600.0,US,US-NM,
Johnston Medical Center Heliport,320.0,US,US-NC,
Llama Ranch Airport,6120.0,US,US-NV,
Talmage Field,95.0,US,US-NY,
Gibbs Field,580.0,US,US-OH,
"Cleveland Clinic, Marymount Hospital Heliport",890.0,US,US-OH,
Sahoma Lake Airport,890.0,US,US-OK,
Bluebird Airport,1232.0,US,US-OK,
Powwatka Ridge Airport,3340.0,US,US-OR,
Collegeville Heliport,197.0,US,US-PA,
M.P. Metals Heliport,479.0,US,US-PA,
Sun View Field Airport,980.0,US,US-KS,
Ziggy's Field,1050.0,US,US-PA,
Sandy River Airport,704.0,US,US-OR,
Seacoast Medical Center Heliport,73.0,US,US-SC,
Gay Hill Farm Airport,505.0,US,US-TX,
Barronena Ranch Airport,600.0,US,US-TX,
Eagles Landing Heliport,1000.0,US,US-TN,
Shannon Medical Center Heliport,1825.0,US,US-TX,
Brazos Polo Airport,117.0,US,US-TX,
M D K Field Heliport,50.0,US,US-TX,
AZ Minerals Corporation Airport,5315.0,US,US-UT,
Whipoorwill Springs Airport,250.0,US,US-VA,
Spangle Field,2440.0,US,US-WA,
Zink Airport,880.0,US,US-WI,
Aerostone Ranch Airport,2320.0,US,US-WA,
Lopez Medical Clinic Heliport,38.0,US,US-WA,
Del Sol Medical Center Heliport,3881.0,US,US-TX,
Creekside Airport,2100.0,US,US-TX,
Flying W Ranch Airport,250.0,US,US-AK,
Anniston AHP (Anniston Army Depot),686.0,US,US-AL,
North 40 Airport,943.0,US,US-AK,
Saline Memorial Hospital Heliport,430.0,US,US-AR,
Chinle Airport,5515.0,US,US-AZ,
Gray Butte Field,3020.0,US,US-CA,
Hunt's Sky Ranch Airport,2310.0,US,US-CA,
Shingle Mill Heliport,880.0,US,US-CT,
De Leon Municipal Airport,1293.0,US,US-TX,
Richards Field,9.0,US,US-FL,
Tampa General Hospital Brandon Healthplex Heliport,37.0,US,US-FL,
Cross Creek Farms Airport,30.0,US,US-FL,
Columbus Southwest Airport,920.0,US,US-OH,
Middlekoop Airport,801.0,US,US-IA,
Lanham Field,2343.0,US,US-ID,
Turkey Run Airport,765.0,US,US-IN,
Schertz Aerial Service - Hudson Airport,755.0,US,US-IL,
Lake Gage Seaplane Base,954.0,US,US-IN,
Van Gorder Airport,728.0,US,US-IL,
Robinson Industries Heliport,835.0,US,US-KS,
Natchez Trace Farm Airport,710.0,US,US-KY,
Saint James Parish Hospital Heliport,10.0,US,US-LA,
Brunner Airport,750.0,US,US-IL,
La National Guard Heliport,52.0,US,US-LA,
Goddard Field,200.0,US,US-MA,
Chesapeake City Heliport,40.0,US,US-MD,
Beech Hill Airport,625.0,US,US-ME,
Rapids Airway Airport,880.0,US,US-MI,
Helblad Airport,1195.0,US,US-MN,
Airpark Private Airport,767.0,US,US-MO,
Nick's Flying Service Inc Airport,100.0,US,US-MS,
Pluhar Airport,2715.0,US,US-MT,
Western Wake Medical Center Heliport,445.0,US,US-NC,
Mc Connell Field Airport,3035.0,US,US-NE,
Emmanuel Airport,155.0,US,US-NJ,
McGee 04 Heliport,40.0,US,US-NC,
Kingston Ranch Airport,2620.0,US,US-NV,
Klaverack Airport,250.0,US,US-NY,
Teufel Heliport,185.0,US,US-OR,
Bossow Airport,1080.0,US,US-OH,
Stillwater Medical Center Heliport,984.0,US,US-OK,
Collins Landing Strip,1500.0,US,US-OR,
S & C Distribution Center Heliport,50.0,US,US-PA,
Strawbridge & Clothier Exton Heliport,320.0,US,US-PA,
Emergency Helipad,994.0,US,US-SC,
Cheyenne River Health Center Heliport,2437.0,US,US-SD,
Capitol National Bank Building Heliport,540.0,US,US-TX,
Veterans Affairs Medical Center Heliport,49.0,US,US-TX,
Hensley Airpark,1430.0,US,US-TN,
Hummingbird Heliport,690.0,US,US-TX,
4D Ranch Airport,1550.0,US,US-TX,
Pocock Airport,565.0,US,US-TX,
Navajo Mountain Airport,6160.0,US,US-UT,
Saguache Municipal Airport,7826.0,US,US-CO,
Russell County Medical Center Heliport,2004.0,US,US-VA,
Manquin Flight Park Ultralightport,50.0,US,US-VA,
Lightning Bolt Field Airport,2156.0,US,US-VT,
Field of Dreams Airport,1021.0,US,US-MN,
Ox Meadows Airport,2345.0,US,US-WA,
Dutch Gap Airstrip,760.0,US,US-WI,
Stillwater Creek Airport,1510.0,US,US-WA,
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,1137.0,US,US-WV,
Pecan Field,1130.0,US,US-TX,
Schmidts Heliport,625.0,US,US-TX,
Wasilla Creek Airpark,620.0,US,US-AK,
Allen Stagefield Army Heliport,365.0,US,US-AL,
Ozark Skies Airpark,1900.0,US,US-AR,
Yuma Regional Medical Center Heliport,200.0,US,US-AZ,
Van Buren Seaplane Base,440.0,US,US-ME,
Lost Hills Sheriff's Station Heliport,888.0,US,US-CA,
Pope Valley Airport,618.0,US,US-CA,
Rancho de Aereo Airport,4978.0,US,US-CO,
O And G Heliport,600.0,US,US-CT,
Melanie's Airport,295.0,US,US-FL,
Aventura Heliport,6.0,US,US-FL,
Charlton Strip,36.0,US,US-FL,
Raju Airport,625.0,US,US-GA,
Spotts Field,1155.0,US,US-IA,
Running Creek Ranch Airport,2969.0,US,US-ID,
Reichhart Airport,795.0,US,US-IN,
Classic Landings Airport,635.0,US,US-IL,
Cooper Airport,860.0,US,US-IN,
Hardy Airport,605.0,US,US-IL,
Darbro Field,945.0,US,US-KS,
High Point Farm Airport,880.0,US,US-KY,
Cartersville Airport,1070.0,US,US-KY,
Greg's Flying Service Airport,76.0,US,US-LA,
Midwest Heliport,710.0,US,US-IL,
Grass Roots Airport,83.0,US,US-LA,
Pauls Valley General Hospital Heliport,911.0,US,US-OK,
